CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
109,Kumarapalayam,47329,9784,4.675127328,3.990516444,AIADMK,Margin,ThirdFront,593,216,குமாரப்பாளையம்,அ.இ.அ.தி.மு.க
110,Omalur,19956,9744,4.300073495,3.988737275,AIADMK,Margin,ThirdFront,598,218,ஓமலூர்,அ.இ.அ.தி.மு.க
111,Virugampakkam,2333,9730,3.367914739,3.98811284,AIADMK,Margin,ThirdFront,603,220,விருகம்பாக்கம்,அ.இ.அ.தி.மு.க
112,Tiruchirappalli (East),21894,9694,4.340325114,3.986503015,AIADMK,Margin,ThirdFront,608,222,திருச்சிராப்பள்ளி (கிழக்கு),அ.இ.அ.தி.மு.க
113,Palani,25586,9687,4.408002396,3.9861893,DMK,Margin,ThirdFront,613,224,பழனி,தி.மு.க
114,Velachery,8872,9654,3.948021533,3.984707294,DMK,Margin,ThirdFront,618,226,வேளச்சேரி,தி.மு.க
115,Nanguneri,17315,9446,4.238422496,3.975247941,INC,Margin,ThirdFront,623,228,நாங்குநேரி,இ.தே.க
116,Pappireddippatti,12713,9441,4.104248047,3.975017998,AIADMK,Margin,ThirdFront,628,230,பாப்பிரெட்டிப்பட்டி,அ.இ.அ.தி.மு.க
117,Madavaram,15253,9383,4.18335527,3.972341716,DMK,Margin,ThirdFront,633,232,மாதவரம்,தி.மு.க
118,Natham,2110,9373,3.324282455,3.971878617,DMK,Margin,ThirdFront,638,234,நத்தம்,தி.மு.க
119,Dharmapuri,9676,9348,3.98569586,3.970718704,DMK,Margin,ThirdFront,643,236,தர்மபுரி,தி.மு.க
120,Uthiramerur,12156,9184,4.084790691,3.963031875,DMK,Margin,ThirdFront,648,238,உத்திரமேரூர்,தி.மு.க
121,Gudalur,13379,9044,4.126423654,3.956360554,DMK,Margin,ThirdFront,653,240,கூடலூர்,தி.மு.க
122,Kancheepuram,7548,8986,3.877831891,3.953566414,DMK,Margin,ThirdFront,658,242,காஞ்சிபுரம்,தி.மு.க
123,Salem (West),7247,8962,3.860158261,3.95240494,AIADMK,Margin,ThirdFront,663,244,சேலம் (மேற்கு),அ.இ.அ.தி.மு.க
124,Mudhukulathur,13348,8800,4.125416198,3.944482672,INC,Margin,ThirdFront,668,246,முதுகுளத்தூர்,இ.தே.க
125,Dindigul,20719,8657,4.31636879,3.937367418,AIADMK,Margin,ThirdFront,673,248,திண்டுக்கல்,அ.இ.அ.தி.மு.க
126,Tirunelveli,601,8640,2.778874472,3.936513742,DMK,Margin,ThirdFront,678,250,திருநெல்வேலி,தி.மு.க
127,Thiruvaiyaru,14343,8604,4.156639998,3.934700402,DMK,Margin,ThirdFront,683,252,திருவைய்யாறு,தி.மு.க
128,Musiri,32087,8581,4.506329114,3.933537902,AIADMK,Margin,ThirdFront,688,254,முசிறி,அ.இ.அ.தி.மு.க
129,Attur,17334,8532,4.238898792,3.931050847,AIADMK,Margin,ThirdFront,693,256,ஆத்தூர் (சேலம்),அ.இ.அ.தி.மு.க
130,Kinathukadavu,1332,8387,3.124504225,3.923606643,AIADMK,Margin,ThirdFront,698,258,கிணத்துக்கடவு,அ.இ.அ.தி.மு.க
131,Radhapuram,49,8362,1.69019608,3.922310163,AIADMK,Margin,ThirdFront,703,260,ராதாபுரம்,அ.இ.அ.தி.மு.க
132,Villivakkam,9321,8234,3.969462508,3.915610863,DMK,Margin,ThirdFront,708,262,வில்லிவாக்கம்,தி.மு.க
133,Manachanallur,7522,8193,3.876333329,3.913442955,AIADMK,Margin,ThirdFront,713,264,மண்ணச்சநல்லூர்,அ.இ.அ.தி.மு.க
134,Kumbakonam,8457,8098,3.927216331,3.908377772,DMK,Margin,ThirdFront,718,266,கும்பக்கோணம்,தி.மு.க
135,Chengam,12691,8007,4.103495844,3.903469829,DMK,Margin,ThirdFront,723,268,செங்கம்,தி.மு.க
136,Thondamuthur,64041,7968,4.806458105,3.901349325,AIADMK,Margin,ThirdFront,728,270,தொண்டாமுத்தூர்,அ.இ.அ.தி.மு.க
137,Pudukkottai,2084,7810,3.318897715,3.892651034,DMK,Margin,ThirdFront,733,272,புதுக்கோட்டை,தி.மு.க
138,Thousand Lights,8829,7805,3.945911517,3.892372907,DMK,Margin,ThirdFront,738,274,ஆயிரம் விளக்கு,தி.மு.க
139,Alangulam,4754,7784,3.677059177,3.891202827,DMK,Margin,ThirdFront,743,276,ஆலங்குளம்,தி.மு.க
140,Hosur,22964,7780,4.361047538,3.890979597,AIADMK,Margin,ThirdFront,748,278,ஓசூர்,அ.இ.அ.தி.மு.க
141,Vandavasi,18068,7745,4.256910082,3.889021422,DMK,Margin,ThirdFront,753,280,வந்தவாசி,தி.மு.க
142,Nilakkottai,14776,7666,4.169556882,3.884568815,AIADMK,Margin,ThirdFront,758,282,நிலக்கோட்டை,அ.இ.அ.தி.மு.க
143,Gobichettipalayam,11223,7531,4.050108963,3.876852648,AIADMK,Margin,ThirdFront,763,284,கோபிசெட்டிப்பாளையம்,அ.இ.அ.தி.மு.க
144,Manamadurai,14889,7493,4.17286553,3.874655733,AIADMK,Margin,ThirdFront,768,286,மானாமதுரை,அ.இ.அ.தி.மு.க
145,Tiruppattur,42004,7380,4.62329065,3.868056362,DMK,Margin,ThirdFront,773,288,திருப்பத்தூர்,தி.மு.க
146,Sholavandan,24857,7357,4.395448712,3.866700756,AIADMK,Margin,ThirdFront,778,290,சோழவந்தான்,அ.இ.அ.தி.மு.க
147,Tenkasi,462,7324,2.664641976,3.864748336,AIADMK,Margin,ThirdFront,783,292,தென்காசி,அ.இ.அ.தி.மு.க
148,Coimbatore (South),17419,7248,4.241023219,3.860218185,AIADMK,Margin,ThirdFront,788,294,கோயம்பத்தூர் (தெற்கு),அ.இ.அ.தி.மு.க
149,Gangavalli,2262,7114,3.354492601,3.852113861,AIADMK,Margin,ThirdFront,793,296,கங்கவள்ளி,அ.இ.அ.தி.மு.க
150,Udumalaipettai,5687,7090,3.754883228,3.850646235,AIADMK,Margin,ThirdFront,798,298,உடுமலைப்பேட்டை,அ.இ.அ.தி.மு.க
151,Usilampatti,32906,7079,4.517275093,3.849971912,AIADMK,Margin,ThirdFront,803,300,உசிலம்பட்டி,அ.இ.அ.தி.மு.க
152,Ambur,28006,7043,4.447251084,3.847757688,AIADMK,Margin,ThirdFront,808,302,ஆம்பூர்,அ.இ.அ.தி.மு.க
153,Dharapuram (SC),10017,7029,4.000737674,3.846893543,INC,Margin,ThirdFront,813,304,தாராபுரம் (தனித்தொகுதி),இ.தே.க
154,Arani,7327,7025,3.864926192,3.846646329,AIADMK,Margin,ThirdFront,818,306,ஆரணி,அ.இ.அ.தி.மு.க
155,Thiruvallur,5138,7006,3.7107941,3.845470133,DMK,Margin,ThirdFront,823,308,திருவள்ளூர்,தி.மு.க
156,Bhavani,24887,6927,4.395972548,3.840545188,AIADMK,Margin,ThirdFront,828,310,பவானி,அ.இ.அ.தி.மு.க
157,Kanniyakumari,5912,6914,3.771734425,3.839729375,DMK,Margin,ThirdFront,833,312,கன்னியாக்குமரி,தி.மு.க
158,Bodinayakanur,15608,6889,4.193347256,3.838156185,AIADMK,Margin,ThirdFront,838,314,போடிநாயக்கனூர்,அ.இ.அ.தி.மு.க
159,Lalgudi,3837,6784,3.583991799,3.831485839,DMK,Margin,ThirdFront,843,316,லால்குடி,தி.மு.க
160,Erode (East),7794,6776,3.891760401,3.830973397,AIADMK,Margin,ThirdFront,848,318,ஈரோடு (கிழக்கு),அ.இ.அ.தி.மு.க
161,Kulithalai,11896,6726,4.075400956,3.827756863,DMK,Margin,ThirdFront,853,320,குளித்தலை,தி.மு.க
162,Tiruchengodu,3390,6688,3.530199698,3.825296264,AIADMK,Margin,ThirdFront,858,322,திருச்செங்கோடு,அ.இ.அ.தி.மு.க
163,Erode (West),4906,6624,3.690727544,3.821120324,AIADMK,Margin,ThirdFront,863,324,ஈரோடு (மேற்கு),அ.இ.அ.தி.மு.க
164,Gummidipoondi,23395,6585,4.36912305,3.818555779,AIADMK,Margin,ThirdFront,868,326,கும்மிடிப்பூண்டி,அ.இ.அ.தி.மு.க
165,Anna Nagar,1687,6491,3.227115083,3.812311609,DMK,Margin,ThirdFront,873,328,அண்ணா நகர்,தி.மு.க
166,Karur,441,6491,2.644438589,3.812311609,AIADMK,Margin,ThirdFront,878,330,கரூர்,அ.இ.அ.தி.மு.க
167,Veerapandi,14481,6483,4.160798554,3.811776022,AIADMK,Margin,ThirdFront,883,332,வீரப்பாண்டி,அ.இ.அ.தி.மு.க
168,Orathanadu,3645,6351,3.561697533,3.802842113,DMK,Margin,ThirdFront,888,334,ஒரத்தநாடு,தி.மு.க
169,Aranthangi,2291,6341,3.360025089,3.802157753,AIADMK,Margin,ThirdFront,893,336,அறந்தாங்கி,அ.இ.அ.தி.மு.க
170,Tiruchendur,26001,6330,4.414990051,3.80140371,DMK,Margin,ThirdFront,898,338,திருச்செந்தூர்,தி.மு.க
171,Egmore,10679,6321,4.028530587,3.80078579,DMK,Margin,ThirdFront,903,340,எழும்பூர்,தி.மு.க
172,Perundurai,12771,6304,4.106224905,3.799616204,AIADMK,Margin,ThirdFront,908,342,பெருந்துறை,அ.இ.அ.தி.மு.க
173,Thuraiyur,8068,6281,3.90676589,3.798028793,DMK,Margin,ThirdFront,913,344,துரையூர்,தி.மு.க
174,Kolathur,37730,6276,4.576686805,3.797682935,DMK,Margin,ThirdFront,918,346,கொளத்தூர்,தி.மு.க
175,Thiyagarayanagar,3155,6210,3.498999364,3.7930916,AIADMK,Margin,ThirdFront,923,348,தியாகராயநகர்,அ.இ.அ.தி.மு.க
176,Madathukulam,1667,6208,3.2219356,3.792951708,DMK,Margin,ThirdFront,928,350,மடத்துக்குளம்,தி.மு.க
177,Srivaikuntam,3531,6203,3.547897718,3.792601781,AIADMK,Margin,ThirdFront,933,352,ஸ்ரீவைகுண்டம்,அ.இ.அ.தி.மு.க
178,Sholingur,9732,6167,3.9882021,3.790073948,AIADMK,Margin,ThirdFront,938,354,சோளிங்கர்,அ.இ.அ.தி.மு.க
179,Paramathi-Velur,818,6014,2.912753304,3.779163424,DMK,Margin,ThirdFront,943,356,பரமத்தி-வேலூர்,தி.மு.க
180,Mannargudi,9937,5966,3.99725529,3.775683249,DMK,Margin,ThirdFront,948,358,மண்ணார்குடி,தி.மு.க
181,Ranipet,7896,5906,3.89740714,3.771293443,DMK,Margin,ThirdFront,953,360,ராணிப்பேட்டை,தி.மு.க
182,Mettur,6282,5892,3.798097932,3.770262738,AIADMK,Margin,ThirdFront,958,362,மேட்டூர்,அ.இ.அ.தி.மு.க
183,Anthiyur,5312,5828,3.725258066,3.765519543,AIADMK,Margin,ThirdFront,963,364,அந்தியூர்,அ.இ.அ.தி.மு.க
184,Peravurani,995,5816,2.997823081,3.764624398,AIADMK,Margin,ThirdFront,968,366,பேராவூரணி,அ.இ.அ.தி.மு.க
185,Nagercoil,20956,5803,4.32130839,3.763652571,DMK,Margin,ThirdFront,973,368,நாகர்கோவில்,தி.மு.க
186,Tiruchuli,26577,5799,4.424505956,3.763353109,DMK,Margin,ThirdFront,978,370,திருச்சுழி,தி.மு.க
